# This file was generated by compile.popres.R. Note that column "ID"
# was changed to "id".
id,country,abbrv,color,longitude,latitude,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
474,Croatia,HR,dodgerblue3,16.4555,45.1263,0.0111,-0.046,-0.0574,-0.0099,-0.0092,0.0089,0.0485,0.004,0.0307,-0.0437,0.0147,0.0184,0,0.0311,-0.0315,-0.0076,-0.006,-0.0169,-0.0572,-0.0039
660,Serbia and Montenegro,RS,cadetblue2,20.6157,43.9495,-0.03,-0.0443,-0.0149,-0.0368,-0.1303,0.0348,-0.0073,-0.0142,0.0182,-0.0037,-0.0251,0.0092,0.0122,0.024,0.0041,0.0129,0.0209,5e-04,-0.0338,8e-04
1890,Czech Republic,CZ,yellowgreen,15.377,49.7366,0.0137,-0.0444,-0.0275,-0.005,0.0595,-0.0272,0.011,-0.0315,-0.024,-0.0246,0.0251,0.0124,-0.0175,0.0122,0.0174,0.0205,0.003,-0.0189,3e-04,-0.0117
1923,Bosnia and Herzegovina,BA,cadetblue,17.862,44.1759,0.0028,-0.0493,-0.0266,0.0213,-0.0389,-5e-04,0.0148,0.0069,-0.0261,0,-0.0018,-0.0152,-0.0147,0.0116,0.0283,-0.0118,-0.0192,-0.0047,0.0091,0.0363
2083,Serbia and Montenegro,RS,cadetblue2,20.6157,43.9495,-0.0031,-0.0416,-0.025,-0.0111,-0.0129,-3e-04,0.0477,-0.0164,-0.0259,-0.0263,-0.0295,-0.005,-0.0101,0.0378,0.0204,0.0087,0.0024,0.0044,-0.026,0
2733,Serbia and Montenegro,RS,cadetblue2,20.6157,43.9495,-0.0026,-0.0424,-0.0432,0.0139,-0.0055,-0.0138,-0.0457,0.0087,0.0024,-0.0013,-0.0257,0.0111,-0.0248,0.0164,-0.0018,0.0166,-0.0142,-0.0135,0.0105,0.0202
3467,Serbia and Montenegro,RS,cadetblue2,20.6157,43.9495,-0.0241,-0.0478,-0.0011,-0.0334,-0.0655,0.0469,0.0043,-0.0291,0.018,0.0014,-0.046,-0.0608,0.0317,0.0358,0.0201,-0.037,-0.0023,0.0168,0.0214,-0.0576
3548,Romania,RO,darkseagreen4,24.9821,45.8858,-0.0304,-0.0537,-0.0022,0.0205,0.0224,0.0233,0.0252,0.0023,-0.0045,0.0221,-0.0237,0.0058,0.0478,0.0266,0.0255,-0.0278,0.0241,-0.0334,0.089,-0.0022
3740,Serbia and Montenegro,RS,cadetblue2,20.6157,43.9495,-0.0011,-0.0545,-0.0393,-0.0158,-0.0119,-0.0202,-0.0031,0.0122,-0.0081,-0.0153,-0.0326,-0.0497,0.0513,-0.0054,-0.0083,0.0167,-0.0371,0.0027,0.0062,0.0087
4108,Bosnia and Herzegovina,BA,cadetblue,17.862,44.1759,0.0048,-0.0588,-0.0444,-0.0032,-0.0236,0.0192,0.0102,-0.0082,-0.0141,0.0104,0.011,0.0031,-0.021,0.0261,-0.0399,0.0267,-0.0367,-0.0299,0.0123,-0.0285
