# This file was generated by compile.regmap.R, followed by translation
# of non-ASCII characters (letter with accents):
#
#   iconv -f utf8 -t ascii//TRANSLIT regmap.csv > regmap_new.csv
#   mv regmap_new.csv regmap.csv
#
array_id,ecotype_id,median_intensity,latitude,longitude,nativename,firstname,surname,site,region,country,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
641,9381,476,55.8106,14.2091,Fri 1,Alison,Anastasio,Frisaboda,S Sweden,SWE,-27.7564,34.4838,6.258,-2.04,-6.5748,-1.4439,2.2803,25.6212,-10.9108,18.6137,-28.175,-2.2341,14.6408,2.9846,-13.9617,-8.1924,3.2565,3.3279,-7.9844,11.8454
642,9380,556,55.7488,13.3742,FlyA 3,Alison,Anastasio,Flyinge,S Sweden,SWE,-20.176,34.9538,15.6064,-6.1097,-99.2813,-44.4414,-38.4179,-40.0077,24.6401,6.5482,-10.9056,-28.9688,0.1324,-2.4097,4.8838,6.4149,-1.7246,-1.6047,-0.8725,3.866
643,9378,542,63.0165,18.3174,FaU 4,Alison,Anastasio,Faberget-Upper,N Sweden,SWE,-56.7601,89.7009,9.0919,11.4833,46.6343,-1.4997,0.0836,-14.2385,-3.0902,-6.1308,0.0536,-7.4098,2.0505,33.4991,-2.4918,0.0051,5.7192,5.4428,-5.5382,8.6653
644,9371,478,63.016,18.3175,FaL 1,Alison,Anastasio,Faberget-Lower,N Sweden,SWE,-55.6441,88.5797,8.0689,9.9808,46.1855,-1.2229,1.5694,-15.3463,-2.364,-4.1847,3.7701,-2.3863,-0.0794,30.8384,-6.3841,-0.2675,4.7884,-0.1314,-5.7376,8.3069
645,9367,560,57.6787,14.9981,EkN 3,Alison,Anastasio,Eksjoholm-Norra,C Sweden,SWE,-38.5506,6.1973,-6.9958,-5.7941,-12.8444,1.4173,5.9657,23.056,-3.2038,-23.0929,7.1626,-4.3728,6.1251,-0.0396,-5.5726,13.356,11.9358,6.7969,-3.816,2.5588
646,9363,363,62.9147,18.4045,EdJ 2,Alison,Anastasio,Edsattersjon,N Sweden,SWE,-60.6846,109.8771,16.1302,13.553,46.3648,-2.1523,-10.439,-20.7712,10.2359,-1.0296,15.3104,8.6727,-3.2813,2.2854,1.13,-6.5044,0.5826,8.0598,14.3461,-1.7194
647,9356,335,62.8762,18.1746,Eden 17,Alison,Anastasio,Eden,N Sweden,SWE,-61.0278,103.6042,14.305,12.4408,46.2581,-3.9588,-6.987,-16.51,0.4513,-0.1301,4.3186,17.9348,-5.9985,2.7227,12.307,3.2278,-0.9508,-11.66,2.2452,4.0463
648,9355,482,62.8762,18.1746,Eden 16,Alison,Anastasio,Eden,N Sweden,SWE,-61.0387,106.7667,14.7185,13.8843,45.3081,-2.461,-8.4333,-18.1806,0.9649,0.5415,4.6607,18.2225,-5.132,2.6173,10.8847,4.0078,0.5792,-13.1997,3.9528,3.1213
649,9354,360,62.8762,18.1746,Eden 15,Alison,Anastasio,Eden,N Sweden,SWE,-58.7902,109.5147,15.3563,14.485,45.1909,-1.7211,-10.8063,-20.5425,5.2595,-3.1006,7.8986,16.2197,-6.0725,3.9894,9.9251,1.4377,0.1356,-12.052,8.379,1.5551
650,9353,353,57.2608,16.3675,Dod 3,Alison,Anastasio,Doderhult,C Sweden,SWE,-38.9777,1.3651,-4.212,0.6569,-13.8573,-3.5909,-0.0321,26.8151,-6.7864,-28.5385,3.032,-6.9513,10.8914,-6.0897,-2.6296,5.6169,13.4732,0.6223,-26.9069,7.0078
651,9352,517,57.2608,16.3675,Dod 2,Alison,Anastasio,Doderhult,C Sweden,SWE,-34.474,8.1263,-7.0399,4.063,-10.3214,-1.9397,-3.7956,25.1519,-6.2424,-29.0869,-0.5774,-3.5612,12.4332,-3.8925,-1.6554,1.3697,10.6969,6.5733,-28.2943,2.7677
652,9351,470,57.2608,16.3675,Dod 1,Alison,Anastasio,Doderhult,C Sweden,SWE,-34.7412,8.5902,-7.1351,2.8675,-9.9991,1.3946,-2.7339,21.4582,-4.2774,-32.8812,0.2229,-4.0769,6.6459,-6.0922,-4.7697,4.6342,14.646,8.0107,-27.1882,6.2239
653,9344,548,57.3089,18.1512,Dja 2,Alison,Anastasio,Djauvik,S Sweden,SWE,-26.8887,33.4424,12.2266,-5.0483,-10.8161,1.5693,2.3225,17.1396,-1.5238,19.9686,-22.5857,-7.3992,11.7414,0.9144,-10.2788,-10.7129,-12.0158,-6.0203,-7.4295,10.8011
654,9343,655,57.3089,18.1512,Dja 1,Alison,Anastasio,Djauvik,S Sweden,SWE,-27.9558,30.0734,11.7149,-3.4637,-8.6309,0.3929,4.2651,17.4404,-2.6632,16.5242,-19.1225,-7.2099,12.5581,-1.8266,-9.7887,-8.2546,-11.309,-7.3942,-9.6852,10.4537
655,9339,344,57.7133,15.0689,Bot 1,Alison,Anastasio,Botteryd,C Sweden,SWE,-31.2271,4.7526,-5.3596,-2.0328,-22.5892,-0.5208,0.3367,14.6381,0.7878,-27.194,7.6849,-0.4237,10.1485,3.4544,-6.0807,15.3129,16.3069,9.0129,2.517,-7.0384
656,9336,504,62.8794,18.4473,Bon 1,Alison,Anastasio,Bonhamn,N Sweden,SWE,-35.9805,53.0957,9.6364,-0.3873,2.263,0.8989,6.4079,17.8665,-0.4879,16.7192,-13.7003,-6.3219,5.6568,-14.0361,4.6389,16.1375,-13.9243,-16.1868,-17.6845,2.2231
657,9332,602,62.8698,18.381,Bar 1,Alison,Anastasio,Barsta,N Sweden,SWE,-58.761,105.2221,14.1248,12.7748,43.0092,-2.9966,-7.8082,-16.8977,7.8725,-0.1376,14.7053,6.6876,-6.8404,3.7223,3.2825,-11.6234,6.6326,6.6959,17.1014,1.6476
659,9323,291,62.8622,18.336,Adal 3,Alison,Anastasio,Adal,N Sweden,SWE,-55.9126,98.1269,13.0736,12.5606,37.4427,-1.2034,-6.9202,-15.3878,6.6394,-3.4407,15.1078,3.8673,-5.7862,2.0091,3.1923,-10.4712,10.0127,9.095,17.1583,6.0377
660,9321,564,62.8622,18.336,Adal 1,Alison,Anastasio,Adal,N Sweden,SWE,-59.0154,111.1321,14.7807,12.7892,44.3139,-3.7714,-6.8879,-14.7316,7.8312,1.3087,17.6406,6.1125,-4.7112,0.1008,1.713,-10.8332,7.637,7.8171,20.4238,2.7194
661,9482,313,55.4242,13.8484,Yst 2,Alison,Anastasio,Ystad,S Sweden,SWE,-29.1597,-3.6985,-7.3446,-8.2578,-31.7898,1.7439,-0.4077,9.3535,1.4259,-12.002,11.2049,23.8352,4.6099,12.31,5.1034,1.8981,-0.1707,-6.2021,-2.4244,1.0418
662,9481,322,55.4242,13.8484,Yst 1,Alison,Anastasio,Ystad,S Sweden,SWE,-26.0205,5.1508,-2.7681,-7.9271,-28.6051,0.2761,1.7326,13.3527,-5.5247,-5.4086,6.2176,25.4354,3.7727,6.7323,-1.5562,-4.5874,-4.7708,-10.1123,3.2206,-0.5298
663,9472,609,56.0648,13.9707,UllA 2,Alison,Anastasio,Ullstorp,S Sweden,SWE,-22.9155,24.5489,6.0614,-5.3601,-87.889,-37.2231,-26.9927,-30.6948,15.7957,4.3395,-5.0044,-14.0353,-5.3002,-0.3768,9.3469,-5.0105,1.498,2.533,-8.0644,-4.8478
664,9471,455,56.0648,13.9707,UllA 1,Alison,Anastasio,Ullstorp,S Sweden,SWE,-25.0194,29.493,10.8557,-7.315,-103.3581,-47.8461,-37.4756,-44.0676,23.0545,6.4198,-6.5732,-25.0365,-4.4457,-0.9356,10.8233,0.9786,-4.4407,-3.3437,0.0874,1.0489
665,9470,607,57.6511,14.8043,Tur 4,Alison,Anastasio,Turlunda,C Sweden,SWE,-19.6761,10.1814,-0.6932,-1.1978,-21.0137,2.0436,7.2519,19.0433,-3.9265,2.4407,7.0045,5.1842,-2.3568,-1.1759,4.4368,3.2906,10.5596,4.8855,-5.9663,-0.4242
666,9469,287,57.6511,14.8043,Tur 3,Alison,Anastasio,Turlunda,C Sweden,SWE,-24.0247,9.7118,-3.3322,-0.545,-20.4026,0.5505,6.6528,16.5469,-3.8524,-1.8123,7.961,9.3625,2.0259,-4.039,3.4284,4.1175,5.4483,6.306,-6.6224,-3.4486
667,9455,398,57.8009,18.5162,Ste 4,Alison,Anastasio,Stenkyrka,S Sweden,SWE,-16.636,16.8214,-10.5907,5.6465,-21.4652,10.3388,-4.5189,2.274,-1.2652,-14.774,-7.1164,13.935,8.0117,8.0352,-12.6312,-4.6532,7.7237,10.8803,-12.0049,-5.5874
668,9454,506,57.8009,18.5162,Ste 3,Alison,Anastasio,Stenkyrka,S Sweden,SWE,-27.2149,7.8339,4.255,-3.7335,-19.6572,1.6436,-1.4957,12.1978,-0.8931,-11.4568,0.428,17.5076,-4.9099,-3.0104,-14.8773,-2.6531,1.4153,6.5501,-5.5816,2.708
669,9453,695,57.8009,18.5162,Ste 2,Alison,Anastasio,Stenkyrka,S Sweden,SWE,-23.4254,15.4152,3.9308,-1.4591,-19.9486,-1.7981,3.4126,11.4783,-5.4157,-13.3386,1.5052,11.4744,-3.7559,-4.845,-14.165,3.2402,7.925,5.845,-6.9538,0.152
671,9451,381,57.2545,18.2109,Spro 2,Alison,Anastasio,Sproge,S Sweden,SWE,-23.2435,12.798,3.0199,-1.6935,-18.024,6.0718,1.6753,15.7937,-3.2953,-1.7713,-11.386,9.1456,0.833,-5.7844,-11.7491,7.1048,2.1959,9.55,-3.9863,4.6947
673,9419,542,58.1834,15.0062,Lag 1,Alison,Anastasio,Lagnebrunne,C Sweden,SWE,-35.9678,24.2097,0.3481,-0.0126,-6.6092,0.2919,11.2959,17.2423,-3.3746,1.0823,-4.3336,-3.5017,1.47,-6.3439,1.7325,7.3412,3.3428,0.321,2.7954,-5.2409
674,9418,327,57.2164,18.154,Kva 2,Alison,Anastasio,Kvarnakershamn,S Sweden,SWE,-22.7101,24.119,4.7325,-0.5992,-8.3521,3.1266,5.1418,9.9546,-3.6187,5.2798,-15.7555,-0.3948,3.0323,-7.3908,-10.4611,5.0384,0.5413,7.8435,-13.0225,6.0338
675,9409,451,56.0573,14.302,Kia 1,Alison,Anastasio,Kiaby,S Sweden,SWE,-28.2024,-4.4221,-7.9511,-4.2833,-22.7335,-2.2805,6.0722,17.8178,2.8837,-20.0819,13.0192,12.8673,-0.1387,6.2266,5.9635,9.8028,2.6723,1.5177,-5.3435,9.3707
676,9402,590,57.8765,14.8549,Hel 3,Alison,Anastasio,Helgarp,C Sweden,SWE,-32.4793,14.2099,-2.947,-3.8125,-4.7487,1.5881,5.6084,13.2228,-10.1266,-13.1329,-1.398,3.97,-1.5558,-8.8717,-1.2162,11.8308,15.1201,3.7754,-8.0884,-6.4106
680,9369,343,57.6781,14.9986,EkS 2,Alison,Anastasio,Eksjoholm-Sud,C Sweden,SWE,-31.0113,6.9437,-7.4139,0.7293,-10.4178,6.9254,-1.483,9.2541,3.0176,-23.7685,-2.9136,0.2956,4.8775,-7.3925,-15.6125,3.5404,12.7865,1.7251,5.3836,-9.1041
681,9349,346,58.2896,15.1265,Djk 3,Alison,Anastasio,Djurklinik,C Sweden,SWE,-33.1858,10.7947,-0.4379,-3.2594,-11.5988,5.4233,3.3977,12.4979,0.8327,-12.8095,-2.9514,1.9642,-6.5933,-11.1882,-7.9883,3.3041,3.3381,3.2821,-2.0464,-10.9445
682,9476,340,55.5796,14.3336,VarA 1,Alison,Anastasio,Varhallarna,S Sweden,SWE,-20.6567,35.9585,4.944,-1.5927,-11.6636,5.7899,-0.9668,45.2712,-28.2166,42.1596,-82.2363,-15.314,43.2402,41.6374,-14.4403,-29.8696,-11.2974,5.0195,8.0489,14.1207
683,9433,418,62.9513,18.2763,Nyl 13,Alison,Anastasio,Nyland,N Sweden,SWE,-61.2176,103.9155,16.184,10.952,44.7832,-0.0332,-5.4509,-14.4449,2.2158,-3.2302,11.8285,5.7474,-2.0212,2.6207,-1.0464,-8.1742,4.6006,11.8318,8.7086,-0.7148
684,9446,459,55.5678,14.3398,Sim 5,Alison,Anastasio,Simrishamn,S Sweden,SWE,-19.5453,34.9412,5.3934,-2.7096,-9.5495,5.5073,0.0128,44.8348,-26.8707,41.0691,-77.6242,-13.9118,42.972,40.9291,-13.5956,-29.5599,-11.6578,5.7045,8.4726,12.6127
685,9443,506,55.5678,14.3398,Sim 2,Alison,Anastasio,Simrishamn,S Sweden,SWE,-21.0697,36.1815,6.2993,-1.5397,-10.6913,6.1639,0.0649,44.4961,-27.5195,42.9495,-81.9349,-13.8954,42.0125,41.1752,-14.4876,-30.8706,-12.07,4.9993,7.4835,12.7037
686,9442,580,55.5678,14.3398,Sim 1,Alison,Anastasio,Simrishamn,S Sweden,SWE,-22.0287,36.5058,6.1466,-1.3793,-10.9718,5.7192,0.544,44.872,-28.1506,42.571,-82.0747,-15.7896,43.6074,41.7039,-15.1557,-30.9967,-11.5434,4.4998,7.874,13.8282
687,997,346,55.3833,14.05,Ale-Stenar-56-14,Jon,Agren,Ales Stenar,S Sweden,SWE,-19.5632,12.1097,3.5742,0.8993,-30.7632,-4.4975,0.9096,11.7078,-7.6004,-0.7249,4.4747,12.7275,3.0901,1.2832,-5.9969,-1.7906,5.9603,-8.3427,-0.3243,2.8917
688,996,232,55.3833,14.05,Ale-Stenar-50-11,Jon,Agren,Ales Stenar,S Sweden,SWE,-21.2665,7.8805,-0.8517,-5.7207,-30.9181,7.0013,-1.4825,26.1629,-0.9236,6.0156,4.7905,8.8063,-1.7474,8.0266,8.9483,-2.5364,4.5732,-13.1034,9.1921,4.0833
689,1068,243,55.7167,14.1333,Brosarp-37-149,Jon,Agren,Brosarp,S Sweden,SWE,-28.1715,-9.5334,-7.0373,-1.926,-20.3536,17.6421,-6.1928,15.5941,-1.9704,1.0452,-9.1118,21.4975,-21.4528,-12.212,-0.3655,-4.7181,7.9383,25.1463,-25.2365,-14.7655
690,1026,208,55.7,14.2,VM-12,Jon,Agren,VM,S Sweden,SWE,-26.7398,-0.2392,-6.9228,-5.9988,-29.7446,6.0002,2.5984,14.5956,-5.8251,-2.0474,8.2834,17.6197,-1.6012,0.2689,-5.4086,3.1292,8.6118,-3.3597,-7.1726,4.8174
691,1585,254,65.25,15.6,Hen-16-268,Jon,Agren,Hen,N Sweden,SWE,-29.3244,37.9832,7.3325,7.0236,-0.0392,4.3653,7.4144,12.5786,3.6341,-5.6917,-8.958,-4.6304,-3.0387,-14.6242,-15.2583,0.2938,5.9284,8.8249,-7.365,-4.631
692,1435,400,62.8,18.2,Rod-17-319,Jon,Agren,Rod,N Sweden,SWE,14.3868,-17.8596,-10.1571,37.6867,-11.1049,107.038,-5.3076,-61.9883,-7.7179,-7.9675,-15.0618,-11.3741,12.7497,19.7171,-25.6696,2.0932,14.358,-10.0972,-12.6745,1.5844
694,1169,379,56.7,16.5167,Aledal-17-82,Jon,Agren,Aledal,S Sweden,SWE,-18.3575,14.0005,2.2137,-0.4156,-13.1393,1.2054,11.3294,19.7622,-5.9351,-2.6768,-10.251,-4.0707,-8.07,-12.415,-11.6852,29.8071,14.4576,4.0504,-54.2927,21.197
695,1075,221,55.7167,14.1333,Brosarp-63-163,Jon,Agren,Brosarp,S Sweden,SWE,-19.5004,-1.3995,-6.1,-2.8393,-23.0504,11.7488,2.228,24.3004,-2.2278,-0.6164,-0.1349,18.0064,-6.3815,5.9084,4.6488,3.2907,2.6715,9.4935,-13.168,-1.2612
696,1132,224,56.6167,16.65,Gardby-17-198,Jon,Agren,Gardby,S Sweden,SWE,-24.0627,28.3175,5.7512,-1.9267,-2.864,-0.7072,6.1322,24.2583,-1.2685,7.0954,-19.0024,0.2028,7.4067,-12.7382,0.1953,16.3738,-6.1465,-10.0266,-23.0109,3.7728
699,1064,246,55.7167,14.1333,Brosarp-25-142,Jon,Agren,Brosarp,S Sweden,SWE,-18.1775,10.032,-8.1329,-0.1387,-20.3334,12.1854,-3.0703,20.6495,-3.3149,4.8229,0.4565,8.1265,-2.7666,4.3958,9.2824,-2.4339,7.3166,10.6157,-8.708,-1.09
700,1063,202,55.7167,14.1333,Brosarp-21-140,Jon,Agren,Brosarp,S Sweden,SWE,-29.9819,-2.1708,-8.3152,-0.7252,-24.0316,20.1379,-8.2188,16.9514,-0.8929,3.6439,-9.1028,20.2426,-18.668,-13.329,-6.434,-9.2388,8.4065,22.983,-25.5887,-23.9243
701,1062,337,55.7167,14.1333,Brosarp-15-138,Jon,Agren,Brosarp,S Sweden,SWE,-26.3259,18.3273,7.9316,-2.798,-77.5885,-22.5131,-27.4464,-20.9492,18.6294,6.3395,-15.6536,-8.7819,-8.9791,-12.9574,1.1991,-5.0348,-0.2177,12.112,-2.5492,-11.0805
702,1247,602,59.4333,17.0167,Tos-31-374,Jon,Agren,Tos,C Sweden,SWE,-44.5492,63.874,8.9508,3.5307,7.2796,-2.3866,7.6135,17.5017,-9.3353,4.0428,-12.9644,-5.1173,11.2518,-24.7288,8.0668,16.7544,-21.4737,-7.0893,-22.4674,-9.2694
704,991,288,55.3833,14.05,Ale-Stenar-41-1,Jon,Agren,Ales Stenar,S Sweden,SWE,-21.1681,12.4051,0.2819,2.7568,-32.5256,0.1442,2.6272,19.3174,-4.2993,7.2267,4.6579,12.0987,2.6055,4.8997,7.1879,-8.0229,6.4145,-13.9743,4.6031,-3.0561
708,1391,228,59.8,17.5833,Stabby-13,Jon,Agren,Stabby,C Sweden,SWE,-35.1598,44.887,6.8485,2.0629,2.0962,8.2258,7.3057,21.9909,-2.2731,9.0516,-12.8559,-9.4453,7.2573,-11.3096,6.8549,22.56,-15.4373,-8.3744,-9.1831,4.8983
709,1374,533,59.7833,17.5833,Ham-27-256,Jon,Agren,Ham,C Sweden,SWE,-39.1295,47.9993,8.658,-0.6569,0.0303,6.9998,12.6539,17.3672,-2.8483,9.166,-18.0069,-1.0285,9.2527,-32.7374,2.8261,28.772,-17.4398,3.1738,-18.9382,8.5371
711,1318,215,59.5667,16.8667,Angso-80-432,Jon,Agren,Angso,C Sweden,SWE,-32.7836,43.7118,5.7137,-1.1593,2.7042,6.5766,7.8621,24.1727,-1.6183,6.3218,-15.3496,-10.0039,7.9965,-20.2934,0.9192,15.1852,-8.0432,-19.9287,-15.44,3.7587
714,1254,299,59.4333,17.0167,Tos-82-387,Jon,Agren,Tos,C Sweden,SWE,-42.1632,61.3869,8.0972,3.4433,7.2612,-0.4478,7.6602,16.6453,-8.1468,3.3059,-12.7696,-5.8453,10.6434,-25.5687,7.7998,17.2156,-21.2906,-6.8214,-22.5053,-9.2114
716,1163,209,56.7,16.5167,Aledal-11-63,Jon,Agren,Aledal,S Sweden,SWE,-18.9488,15.8208,6.131,0.564,-12.2185,1.1924,9.3279,20.3754,-6.8157,-2.4468,-7.3408,-3.3493,-7.0535,-10.8613,-11.1831,28.0157,14.7351,1.9815,-51.9611,18.7028
717,1153,264,56.7,16.5167,Aledal-1-34,Jon,Agren,Aledal,S Sweden,SWE,-18.7558,14.5046,2.6074,-1.2476,-12.9133,-0.1704,11.8304,20.467,-5.9355,-2.5589,-10.649,-3.8565,-8.0121,-12.208,-10.4316,29.8431,12.8123,3.8762,-55.2536,22.3669
720,1073,206,55.7167,14.1333,Brosarp-53-159,Jon,Agren,Brosarp,S Sweden,SWE,-23.351,-0.1623,-5.4158,-2.5412,-23.4374,12.2999,-4.6296,17.1096,-2.4001,-1.4561,1.0921,16.6674,-12.8023,-12.7327,-6.0691,-2.6859,13.6576,28.5889,-19.5282,-7.2435
721,1072,243,55.7167,14.1333,Brosarp-51-157,Jon,Agren,Brosarp,S Sweden,SWE,-22.7069,5.397,-4.2222,-5.6923,-27.5709,0.6428,-0.087,9.92,-2.3262,-11.087,0.349,17.5864,-0.2682,-0.7233,-0.3069,-0.1968,9.7606,-6.7747,-0.1918,0.99
723,394,462,46.65,0.166667,VOU-5,Valerie,Le Corre,VOU,Western Europe,FRA,32.3553,0.5456,32.7953,-17.9044,0.5049,-0.4315,10.2395,-15.46,-35.0847,10.2751,23.5578,-3.0974,5.0053,-16.3995,-14.4262,8.5995,10.8866,4.8012,10.9425,23.6124
724,7,356,45.2667,1.48333,ALL1-8,Valerie,Le Corre,ALL1,Western Europe,FRA,17.6335,-10.7542,26.1481,8.6552,-2.2559,-6.3263,15.2474,-6.5248,-2.7435,2.2264,2.4783,-5.0519,10.5653,-1.9172,-2.978,7.8112,3.7206,4.5698,7.5395,0.6751
725,203,262,47.3833,5.31667,MIB-58,Valerie,Le Corre,MIB,Western Europe,FRA,20.5591,-30.9759,30.745,64.1739,19.0716,-10.3554,-74.1019,27.1335,-13.4107,1.2723,8.0186,-6.7683,-0.5379,0.6391,-2.1964,-6.9188,11.5524,-7.8166,0.0535,0.2493
726,236,460,48.6667,-4.06667,MOG-11,Valerie,Le Corre,MOG,Western Europe,FRA,33.3823,2.2749,28.3743,-13.4166,-2.2796,-2.9724,12.5695,0.6264,-11.2521,6.5716,18.7412,-7.6515,14.113,-2.7668,-15.0449,-0.0341,-7.1947,-13.1024,5.6557,8.1383
727,367,525,46.6667,4.11667,TOU-E-2,Fabrice,Roux,TOU-E,Western Europe,FRA,25.1509,-21.1737,32.8725,36.4042,7.2184,-16.6362,27.9489,-7.8331,12.9498,-3.6271,-5.1235,5.5281,-9.3991,13.3568,-3.9042,-4.211,-0.8388,-6.9617,-11.0377,-8.6175
728,123,621,48.5167,-4.06667,LDV-31,Valerie,Le Corre,LDV,Western Europe,FRA,30.3125,-7.7855,30.7883,-10.4865,-3.9845,-2.2276,11.3541,-1.8095,-4.5999,3.5298,21.1375,-8.8353,12.2546,-7.1201,-0.7937,7.015,-6.3387,-12.6441,7.5778,3.8786
729,395,286,46.65,0.166667,VOU-6,Valerie,Le Corre,VOU,Western Europe,FRA,30.1426,-1.17,31.1198,-11.5786,0.3661,-0.3108,9.7439,-12.5662,-23.5075,5.7022,23.4578,-3.891,6.7982,-14.1933,-18.7505,9.7188,6.2767,3.5523,8.4275,15.4074
730,196,455,47.3833,5.31667,MIB-47,Valerie,Le Corre,MIB,Western Europe,FRA,26.0183,-30.2487,26.9618,59.1884,17.5548,-13.7712,-57.9111,19.7718,-8.7372,-1.6903,3.6716,0.0612,9.4222,-6.285,4.4579,3.2575,6.3155,0.3019,-3.9198,-0.0022
731,264,473,45.75,4.71667,PON,Valerie,Le Corre,PON,Western Europe,FRA,24.5398,-23.8201,26.5004,30.894,3.6828,-8.807,12.5047,-2.1866,-0.3369,-1.9371,-2.306,0.6757,3.8268,-0.0467,4.0463,8.5854,-2.7753,-1.2261,0.5458,3.1976
732,185,424,47.3833,5.31667,MIB-34,Valerie,Le Corre,MIB,Western Europe,FRA,31.2228,-31.014,21.5161,62.7101,20.4722,-0.1105,-56.2994,12.2084,-7.2366,-1.4857,-2.086,2.727,4.1741,-4.5406,0.3821,-2.8714,-8.1273,11.1334,-0.5707,-3.2837
733,297,489,46.6667,4.11667,TOU-A1-134,Fabrice,Roux,TOU-A1,Western Europe,FRA,20.7093,-24.5664,30.8439,41.9255,4.9912,-11.9787,34.5368,-11.1519,18.0062,-7.7682,-9.7628,9.0456,-17.6371,4.8983,-7.7161,-12.4747,-4.9438,-0.844,-7.779,-7.0317
734,318,548,46.6667,4.11667,TOU-A1-39,Fabrice,Roux,TOU-A1,Western Europe,FRA,19.7385,-22.5882,28.2641,39.5983,9.9844,-22.1199,23.8767,-11.5744,17.6127,-8.1097,-5.5849,7.6813,-9.7226,4.9133,1.7907,-2.3244,4.0801,3.3211,-10.4897,-8.1106
735,323,490,46.6667,4.11667,TOU-A1-47,Fabrice,Roux,TOU-A1,Western Europe,FRA,24.18,-26.5995,35.1408,49.9163,6.8035,-25.69,36.2316,-7.3737,19.8229,-3.2593,-11.7578,2.4044,-12.7863,14.0995,7.9095,-5.5902,3.6491,0.7295,-13.8377,11.4542
