POPRES_ID	Source	Gender	Country_Self	Country_Mother	Country_Father	Country_MGF	Country_MGM	Country_PGF	Country_PGM	PrimaryLanguage	Wave	ContOrig	Region	Cluster	tagGPconsens	tagGPnodiscord	tagGP2_2	groups3	groups4	exRelated	exPCAout	FourGPequal	exNotEuro	exThinSwissUK	exMix
12725	LOLIPOP	F	United Kingdom	NA	NA	NA	NA	NA	NA	English	2,5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
27634	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	English	2,5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
25	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	NA	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
56	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	NA	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
119	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	NA	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
179	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
197	LOLIPOP	F	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
241	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
1139	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	NA	2	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
1145	LOLIPOP	F	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
1269	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	NA	2	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
1334	LOLIPOP	F	Ireland	NA	NA	NA	NA	NA	NA	NA	2	European	North Europe	United Kingdom	Ireland	Ireland	Ireland	EuropeNW	EuropeNW	0	0	NA	0	0	0
1398	LOLIPOP	F	United Kingdom	NA	NA	NA	NA	NA	NA	NA	2	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
1551	LOLIPOP	F	Ireland	NA	NA	NA	NA	NA	NA	NA	2	European	North Europe	United Kingdom	Ireland	Ireland	Ireland	EuropeNW	EuropeNW	0	0	NA	0	0	0
1599	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	NA	2	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
2018	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
2481	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
2630	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
2647	LOLIPOP	F	Ireland	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	Ireland	Ireland	Ireland	EuropeNW	EuropeNW	0	0	NA	0	0	0
2721	LOLIPOP	M	Ireland	NA	NA	NA	NA	NA	NA	NA	2	European	North Europe	United Kingdom	Ireland	Ireland	Ireland	EuropeNW	EuropeNW	0	0	NA	0	0	0
3013	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
